Size	Stranding	"Diameter ("")"	Cross-Sectional Area (iný)	Weight per Length (lbf/ft)	Maximum Rated Strength (lbf)	Conductor Properties	Total Expansion Coefficient (1/øF)	Total Modulus of Elasticity (lb/iný)	Core Expansion Coefficient (1/øF)	Core Modulus of Elasticity (lb/iný)	Outer Expansion Coefficient (1/øF)	Outer Modulus of Elasticity (lb/iný)	Number of Conductors	Code Word	Tension Calculation	Core Stress-Strain Polynomial (lb/iný)	Outer Stress-Strain Polynomial (lb/iný)	Core Creep Polynomial (lb/iný)	Outer Creep Polynomial (lb/iný)	Stress-Strain Temperature (øF)	Highest Full Tension (lbf)	Highest Slack Tension (lbf)	Usage Groups
4/0 Quadruplex (Service)	6/1	1.49	0.1939	1.062	8350	TOTAL	1.05276E-05	11350000					1	Appaloosa - Quadruplex Service Drop ACSR Neutral	Static						171	80	UTILITY_SERVICE
4/0 Quadruplex (Span)	6/1	1.49	0.1939	1.062	8350	TOTAL	1.05276E-05	11350000					1	Appaloosa - Quadruplex Service Drop ACSR Neutral	Static						2088	100	SECONDARY
4/0 Triplex (Service)	18/1	1.25	0.1939	0.681	5310	TOTAL	1.05276E-05	11350000					1	Cerapus - Triplex ACSR Neutral	Static						152	80	UTILITY_SERVICE
4/0 Triplex (Span)	18/1	1.25	0.1939	0.681	5310	TOTAL	1.05276E-05	11350000					1	Cerapus - Triplex ACSR Neutral	Static						1328	80	SECONDARY
477 AAC	19/0	0.793	0.3744	0.4468	8360	TOTAL	0.0000128	9300000					1	477 AAC - Cosmos	Static						1209	100	"PRIMARY,NEUTRAL"
477 ACSR	26/7	0.858	0.4354	0.657	19500	TOTAL	1.04564E-05	10807500					1	477 ACSR - Hawk	Static						3900	100	"PRIMARY,NEUTRAL"
6 HDC - Solid	1/0	0.162	0.0206	0.0794	1280	TOTAL	0.0000093	17000000					1	6 HDC - Solid	Static						256	40	"PRIMARY,NEUTRAL,OPEN_WIRE"
795 AAC	37/0	1.026	0.6245	0.7453	13900	TOTAL	0.0000128	9300000					1	795 AAC - Arbutus	Static						1879	100	"PRIMARY,NEUTRAL"
795 ACSR	26/7	1.108	0.7264	1.094	31500	TOTAL	1.04554E-05	10100000					1	795 ACSR - Drake	Static						6300	100	"PRIMARY,NEUTRAL"
954 ACSR (54/7)	54/7	1.196	0.8462	1.2271	33800	TOTAL	1.09488E-05	10711368					1	Cardinal	Static						6760	100	"PRIMARY,NEUTRAL"
".25"" CATV Service"	1/0	0.25	0.0008	0.066	151	TOTAL	0.0000094	16800000					1	0.25 Inch Cable Service	Static						50	20	COMMUNICATION_SERVICE
".25"" TELCO C-Wire"	4/0	0.25	0.00196	0.027	63	TOTAL	0.0000094	16800000					1	0.25 Inch Telephone Service	Static						100	10	COMMUNICATION_SERVICE
".25"" TELCO Service"	4/0	0.25	0.00196	0.027	63	TOTAL	0.0000094	16800000					1	0.25 Inch Telephone Service	Static						30	10	COMMUNICATION_SERVICE
".375"" CATV Service"	1/0	0.375	0.00323	0.147	385	TOTAL	0.0000094	16800000					1	0.375 Inch Cable Service	Static						77	25	COMMUNICATION_SERVICE
".375"" TELCO Service"	4/0	0.375	0.00196	0.038	150	TOTAL	0.0000094	16800000					1	0.375 Inch Telephone Service	Static						50	10	COMMUNICATION_SERVICE
".625"" CATV Service"	1/0	0.893	0.00933	0.249	1995	TOTAL	0.0000094	16800000					1	0.625 Inch Cable Service	Static						498.75	60	COMMUNICATION_SERVICE
12ct Fiber Service (GIG)	1/0	0.12	0.0352	0.02	300	TOTAL	0.0000094	16800000					1	12ct SS(GIG)	Static						75	25	COMMUNICATION_SERVICE
144ct SS	1/0	0.85	0.0352	0.251	6650	TOTAL	0.0000064	25000000					1	144ct SS	Static						1995	70	COMMUNICATION
288ct SS	7/0	0.94	0.0352	0.283	6650	TOTAL	0.0000064	25000000					1	288ct SS	Static						1995	70	COMMUNICATION
48ct SS	1/0	0.53	0.0352	0.089	6650	TOTAL	0.0000064	25000000					1	48ct SS	Static						1995	50	COMMUNICATION
72ct SS	1/0	0.64	0.0352	0.155	6650	TOTAL	0.0000064	25000000					1	72ct SS	Static						1995	50	COMMUNICATION
96ct SS	1/0	0.71	0.0396	0.181	6650	TOTAL	0.0000064	25000000					1	72ct SS	Static						1995	70	COMMUNICATION
"1/2"" EHS"	7/0	0.495	0.1497	0.517	22829	TOTAL	0.0000064	25000000					1	"1/2"" EHS Steel - Class A Galvanizing (1)"	Static						6725	269	GUY
"1/4"" EHS"	7/0	0.25	0.0352	0.121	6650	TOTAL	0.0000064	25000000					1	"1/4"" EHS Steel"	Static						1995	60	GUY
10M EHS	7/0	0.306	0.07354	0.165	10000	TOTAL	0.0000064	25000000					1	10M EHS	Static						3000	100	GUY
"3/8"" EHS"	7/0	0.375	0.11045	0.273	13167	TOTAL	0.0000064	25000000					1	"3/8"" EHS Steel - Class A Galvanizing (1)"	Static						3850	154	GUY
6M EHS	7/0	0.242	0.03607	0.104	6000	TOTAL	0.0000064	25000000					1	6M EHS Steel	Static						1800	60	GUY
